Location Id,Business Account Number,Ownership Name,DBA Name,Street Address,Source Zipcode,Class Code,PBC Code,Business Start Date,Location Start Date,Mail Address,Business Location
0455223-05-001,0455223,Chsp Trs San Francisco Llc,Le Meridien San Francisco,333 Battery St,94111,08,5800,12/15/2010 12:00:00 AM,12/15/2010 12:00:00 AM,333 Battery Street,"333 BATTERY ST
San Francisco, CA 94111
(37.794781, -122.400288)"
0000671-01-001,0000671,Alioto Fish Co Ltd,Aliotos,360a Jefferson St,94133,08,5800,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,360a Jefferson St.,"360A JEFFERSON ST
San Francisco, CA 94133
(37.807882, -122.418442)"
0000671-01-002,0000671,Alioto Fish Co Ltd,Aliotos,8 Fishermanswharf,94133,08,5800,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,360a Jefferson St.,"8 FISHERMANSWHARF
San Francisco, CA 94133
(37.809302, -122.41656)"
0000671-08-001,0000671,Alioto Fish Co Ltd,Nonna Rose Restaurant Inc,8 Fisherman's Wharf,94133,08,5800,10/01/1968 12:00:00 AM,04/28/2008 12:00:00 AM,360a Jefferson St.,"8 FISHERMAN S
WHARF San Francisco, CA 94133
"
0000671-09-001,0000671,Alioto Fish Co Ltd,Afc Cafe 8 Inc,8 Fisherman's Wharf,94133,08,5800,10/01/1968 12:00:00 AM,04/28/2008 12:00:00 AM,360a Jefferson St.,"8 FISHERMAN S
WHARF San Francisco, CA 94133
"
0000671-10-001,0000671,Alioto Fish Co Ltd,Afc Crabstand Inc,8 Fisherman's Wharf,94133,08,5800,10/01/1968 12:00:00 AM,04/28/2008 12:00:00 AM,360a Jefferson St.,"8 FISHERMAN S
WHARF San Francisco, CA 94133
"
0004069-01-001,0004069,Buddha Lounge Inc,Buddha Lounge Inc,901 Grant Ave,94108,08,5800,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,901 Grant Ave,"901 GRANT AVE
San Francisco, CA 94108
(37.795296, -122.406508)"
0004224-01-001,0004224,Gabriels Horn Inc,Bus Stop,1901 Union St,94123,08,5800,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,1901 Union St,"1901 UNION ST
San Francisco, CA 94123
(37.797703, -122.430746)"
0005075-01-001,0005075,Lolman Enterprises Inc,Castagnola's,286 Jefferson St,94133,08,5800,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,286 Jefferson St,"286 JEFFERSON ST
San Francisco, CA 94133
(37.80801, -122.417427)"
0005975-01-001,0005975,Club 65 Inc,Club 65 Inc,65 Taylor St,94102,08,5800,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,88 Bamblin Ln,"65 TAYLOR ST
San Francisco, CA 94102
(37.78294, -122.410719)"
0006838-01-001,0006838,Young Ann,Crown Doughnut Shop,4000 3rd St,94124,08,3079,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,0000 Undeliverable Mail,"4000 3RD ST
San Francisco, CA 94124
(37.741035, -122.388603)"
0009317-01-001,0009317,Feed Bag Inc,Feed Bag The,3401 California St,94118,08,5800,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,Po Box 15760,"3401 CALIFORNIA ST
San Francisco, CA 94118
(37.78678, -122.450274)"
0012293-01-001,0012293,Harringtons Inc,Harringtons Bar & Grill,245 Front St,94111,08,5800,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,245 Front St,"245 FRONT ST
San Francisco, CA 94111
(37.794046, -122.398926)"
0013271-01-001,0013271,Beresford Corporation,Beresford Hotel,635 Sutter St,94102,08,5800,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,582 Market Street #912,"635 SUTTER ST
San Francisco, CA 94102
(37.788943, -122.410904)"
0013271-02-001,0013271,Beresford Corporation,Beresford Arms Hotel,701 Post St,94109,08,5800,10/01/1968 12:00:00 AM,01/01/1976 12:00:00 AM,582 Market Street #912,"701 POST ST
San Francisco, CA 94109
(37.787627, -122.413583)"
0013271-04-001,0013271,Beresford Corporation,White Horse Tavern,635 Sutter St,94102,08,5800,10/01/1968 12:00:00 AM,01/01/1972 12:00:00 AM,582 Market Street #912,"635 SUTTER ST
San Francisco, CA 94102
(37.788943, -122.410904)"
0015460-02-001,0015460,Harman Jose & Wendy Inc,Kentucky Fried Chicken,1900 Irving St,94122,08,5800,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,5544 South Green St,"1900 IRVING ST
San Francisco, CA 94122
(37.763524, -122.478362)"
0019235-01-001,0019235,Sue Mills Inc,Sue Mills Inc,1830 Harrison St,94103,08,5800,10/01/1968 12:00:00 AM,11/28/2005 12:00:00 AM,1830 Harrison St,"1830 HARRISON ST
San Francisco, CA 94103
(37.768055, -122.413378)"
0019235-02-001,0019235,Sue Mills Inc,Mills Schoolwear,1830 Harrison St,94103,08,5800,10/01/1968 12:00:00 AM,11/21/2006 12:00:00 AM,1830 Harrison St,"1830 HARRISON ST
San Francisco, CA 94103
(37.768055, -122.413378)"
0019587-01-001,0019587,Mastrelli Robert Etal,Molinari Delicatessen,373 Columbus Ave,94133,08,3079,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,373 Columbus Av,"373 COLUMBUS AVE
San Francisco, CA 94133
(37.798538, -122.407714)"
0021133-01-001,0021133,Franceschis,Franceschis,498 Jefferson St,94109,08,5800,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,498 Jefferson St,"498 JEFFERSON ST
San Francisco, CA 94109
(37.807661, -122.420243)"
0021994-02-001,0021994,Ussorio Pasquale,Pasquales Pizzeria #2,2640 Sloat Blvd,94116,08,3079,10/01/1968 12:00:00 AM,12/03/1976 12:00:00 AM,700 Irving St,"2640 SLOAT BLVD
San Francisco, CA 94116
(37.735571, -122.502708)"
0021994-03-001,0021994,Ussorio Pasquale,Pasquales Pizzeria,700 Irving St,94122,08,3079,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,700 Irving St,"700 IRVING ST
San Francisco, CA 94122
(37.764077, -122.465511)"
0022623-01-001,0022623,Chowder House Inc,Hungry I,546 Broadway St,94133,08,5800,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,Po Box 2602,"546 BROADWAY ST
San Francisco, CA 94133
(37.7979, -122.406397)"
0022850-01-001,0022850,Pompeis Enterprises Corp,Pompeis Grotto,340 Jefferson St,94133,08,5800,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,340 Jefferson St,"340 JEFFERSON ST
San Francisco, CA 94133
(37.807925, -122.418098)"
0024815-01-001,0024815,Shawa Monzer,Sams,618 Broadway St,94133,08,3079,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,618 Broadway,"618 BROADWAY ST
San Francisco, CA 94133
(37.797773, -122.407443)"
0025258-01-001,0025258,Scomas Restaurant Inc,Scomas Restaurant Inc,Pier 47,94133,08,5800,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,47 Pier,"47 San
Francisco, CA 94133
(37.799421, -122.406082)"
0027895-01-001,0027895,Swiss Louis Restaurant Inc,Swiss Louis Restaurant Inc,Pier 39 204,94133,08,5800,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,39 Pier #160,"204 San
Francisco, CA 94133
"
0027948-01-001,0027948,Tadich Grill Inc,Tadich Grill Inc,240 California St,94111,08,5800,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,240 California St,"240 CALIFORNIA ST
San Francisco, CA 94111
(37.793283, -122.399448)"
0027950-01-002,0027950,Tads Inc,Tads Inc,120 Powell St,94102,08,5800,10/01/1968 12:00:00 AM,12/13/2011 12:00:00 AM,728 Pacific Ave #602,"120 POWELL ST
San Francisco, CA 94102
(37.785901, -122.407948)"
0028046-01-001,0028046,Tarantinos Inc,Tarantinos Inc,206 Jefferson St,94133,08,5800,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,206 Jefferson St,"206 JEFFERSON ST
San Francisco, CA 94133
(37.808163, -122.41619)"
0028448-01-001,0028448,Tia Margarita Inc,Tia Margarita Inc,300 19th Ave,94121,08,5800,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,300 19th Av,"300 19TH AVE
San Francisco, CA 94121
(37.782095, -122.478447)"
0029436-01-001,0029436,Uptons Inc,Uptons Catering,2435 Lombard St,94123,08,5800,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,845 Central Ave,"2435 LOMBARD ST
San Francisco, CA 94123
(37.79909, -122.441551)"
0029798-02-001,0029798,Victoria Pastry Co,Victoria Pastry Co,700 Filbert St,94133,08,5800,10/01/1968 12:00:00 AM,06/01/2012 12:00:00 AM,700 Filbert Street,"700 FILBERT ST
San Francisco, CA 94133
(37.801108, -122.411574)"
0044933-04-001,0044933,"Aramark Services, Inc.","Aramark Services, Inc",101 Howard St,94105,08,5800,01/01/2002 12:00:00 AM,01/01/2002 12:00:00 AM,Po Box 13477,"101 HOWARD ST
San Francisco, CA 94105
(37.79114, -122.392723)"
0044933-05-001,0044933,"Aramark Services, Inc.",Aramark At Grace Cathedral,1100 California St,94108,08,5800,01/01/2002 12:00:00 AM,11/17/2003 12:00:00 AM,Po Box 13477,"1100 CALIFORNIA ST
San Francisco, CA 94108
(37.791576, -122.412861)"
0044933-06-001,0044933,"Aramark Services, Inc.",Aramark Corporation 6085,1675 Owens St 251,94158,08,5800,01/01/2002 12:00:00 AM,06/27/2005 12:00:00 AM,Po Box 13477,"1675 OWENS ST
San Francisco, CA 94158
(37.768091, -122.394381)"
0044933-07-001,0044933,"Aramark Services, Inc.",Aramark Corporation 5773,800 Airport Blvd 15,94128,08,5800,01/01/2002 12:00:00 AM,05/21/2009 12:00:00 AM,Po Box 13477,"800 AIRPORT BLVD
San Francisco, CA 94128
"
0044933-08-001,0044933,"Aramark Services, Inc.",Aramark Corporation,640 Polk St 102,94102,08,5800,01/01/2002 12:00:00 AM,01/01/2011 12:00:00 AM,Po Box 13477,"640 POLK ST
San Francisco, CA 94102
(37.782683, -122.419097)"
0046224-02-999,0046224,Super Crown Catering Inc,Super Crown Catering Inc,1381 Lowrie Ave,94080,08,5800,10/01/1968 12:00:00 AM,01/05/2012 12:00:00 AM,1381 Lowrie Ave,"1381 LOWRIE AVE S
SAN FRAN, CA 94080
(37.64788, -122.410541)"
0051017-01-001,0051017,Hontalas Demosthenes,Louis Restaurant,902 Point Lobos Ave,94121,08,5812,01/01/1969 12:00:00 AM,01/01/1969 12:00:00 AM,902 Point Lobos Av,"902 POINT LOBOS AVE
San Francisco, CA 94121
(37.779035, -122.512804)"
0051805-01-001,0051805,Harman Guy & Mary Inc,Kentucky Fried Chicken,2101 Lombard St,94123,08,5800,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,5544 South Green St,"2101 LOMBARD ST
San Francisco, CA 94123
(37.799763, -122.43631)"
0052911-01-001,0052911,"Harman Nguyen, Inc",Kentucky Fried Chicken,691 Eddy St,94109,08,5800,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,5544 S Green St,"691 EDDY ST
San Francisco, CA 94109
(37.783118, -122.419042)"
0053101-01-003,0053101,Gap Stores Inc,Gap The #113,Stones Town Galleria,94132,08,5800,12/10/1970 12:00:00 AM,12/30/2002 12:00:00 AM,Po Box 27806,"STONES TOWN GALLERIA San Francisco, CA 94132
(37.723307, -122.481194)"
0053101-01-004,0053101,Gap Stores Inc,Gap The #113,3 Sacramento St,94111,08,5800,12/10/1970 12:00:00 AM,01/01/2009 12:00:00 AM,Po Box 27806,"3 SACRAMENTO ST
San Francisco, CA 94111
(37.794578, -122.396656)"
0053101-01-005,0053101,Gap Stores Inc,Gap The #113,890 Market St,94102,08,5800,12/10/1970 12:00:00 AM,01/01/2009 12:00:00 AM,Po Box 27806,"890 MARKET ST
San Francisco, CA 94102
(37.784666, -122.407225)"
0053101-02-001,0053101,Gap Stores Inc,Gap The,3251 20th Ave,94132,08,5800,12/10/1970 12:00:00 AM,11/26/1973 12:00:00 AM,Po Box 27806,"3251 20TH AVE
San Francisco, CA 94132
(37.727905, -122.475605)"
0053101-10-001,0053101,Gap Stores Inc,Gapkids #9604,3491 California St,94118,08,5800,12/10/1970 12:00:00 AM,09/22/1987 12:00:00 AM,Po Box 27806,"3491 CALIFORNIA ST
San Francisco, CA 94118
(37.786616, -122.451487)"
0053101-11-001,0053101,Gap Stores Inc,Gap Inc The #143,3 Embarcadero Ctr,94111,08,5800,12/10/1970 12:00:00 AM,09/22/1987 12:00:00 AM,Po Box 27806,"3 EMBARCADERO CTR
San Francisco, CA 94111
(37.794966, -122.397302)"
0053101-14-001,0053101,Gap Stores Inc,Gap Stores Inc,2040 Chestnut St,94123,08,5800,12/10/1970 12:00:00 AM,01/01/1991 12:00:00 AM,Po Box 27806,"2040 CHESTNUT ST
San Francisco, CA 94123
(37.800698, -122.437158)"
0053101-16-001,0053101,Gap Stores Inc,Gap Stores Inc,1 Harrison St,94105,08,5800,12/10/1970 12:00:00 AM,01/01/1991 12:00:00 AM,Po Box 27806,"1 HARRISON ST
San Francisco, CA 94105
(37.789182, -122.388988)"
0053101-18-001,0053101,Gap Stores Inc,Gap The #150,890 Market St,94102,08,5800,12/10/1970 12:00:00 AM,09/29/1993 12:00:00 AM,Po Box 27806,"890 MARKET ST
San Francisco, CA 94102
(37.784666, -122.407225)"
0053101-23-001,0053101,Gap Stores Inc,Baby Gap #8912,2159 Chestnut St,94123,08,5800,12/10/1970 12:00:00 AM,01/01/2004 12:00:00 AM,Po Box 27806,"2159 CHESTNUT ST
San Francisco, CA 94123
(37.800487, -122.438815)"
0053101-26-001,0053101,Gap Stores Inc,Gap Kids #7437,200 Beach St,94133,08,5800,12/10/1970 12:00:00 AM,08/13/1999 12:00:00 AM,Po Box 27806,"200 BEACH ST
San Francisco, CA 94133
(37.807657, -122.412657)"
0053101-27-001,0053101,Gap Stores Inc,Gap #164,1 Jefferson St,94133,08,5800,12/10/1970 12:00:00 AM,12/31/2002 12:00:00 AM,Po Box 27806,"1 JEFFERSON ST
San Francisco, CA 94133
(37.80853, -122.413305)"
0053101-31-001,0053101,Gap Stores Inc,Gap Body #143,2159 Chestnut St,94123,08,5800,12/10/1970 12:00:00 AM,12/07/1999 12:00:00 AM,Po Box 27806,"2159 CHESTNUT ST
San Francisco, CA 94123
(37.800487, -122.438815)"
0053101-33-001,0053101,Gap Stores Inc,Gap,550 Terry Francois Blvd,94108,08,5800,12/10/1970 12:00:00 AM,01/01/2004 12:00:00 AM,Po Box 27806,"550 TERRY FRANCOIS BLVD
San Francisco, CA 94108
(37.769489, -122.38633)"
0053101-34-001,0053101,Gap Stores Inc,Gap,2 Harrison Street,94108,08,5800,12/10/1970 12:00:00 AM,01/01/2004 12:00:00 AM,Po Box 27806,"2 HARRISON STREET
San Francisco, CA 94108
(37.789053, -122.389147)"
0053101-35-001,0053101,Gap Stores Inc,Gap,345 Spear St,94108,08,5800,12/10/1970 12:00:00 AM,01/01/2004 12:00:00 AM,Po Box 27806,"345 SPEAR ST
San Francisco, CA 94108
(37.789717, -122.390551)"
0053101-36-001,0053101,Gap Stores Inc,Gap #1400,240 Post St,94108,08,5800,12/10/1970 12:00:00 AM,09/26/2009 12:00:00 AM,Po Box 27806,"240 POST ST
San Francisco, CA 94108
(37.788616, -122.405853)"
0053101-37-001,0053101,Gap Stores Inc,"The Gap, Inc",2 Folsom St,94105,08,5800,12/10/1970 12:00:00 AM,01/01/2010 12:00:00 AM,Po Box 27806,"2 FOLSOM ST
San Francisco, CA 94105
(37.790339, -122.390637)"
0053101-38-001,0053101,Gap Stores Inc,Mission Bay Cafe,550 Terry Francois St,94158,08,5800,12/10/1970 12:00:00 AM,01/22/2007 12:00:00 AM,Po Box 27806,"550 TERRY FRANCOIS ST
San Francisco, CA 94158
(37.769489, -122.38633)"
0053544-01-001,0053544,Harman Albert & Hazel Inc,Kentucky Fried Chicken,4150 Geary Blvd,94118,08,5800,05/08/1969 12:00:00 AM,05/08/1969 12:00:00 AM,5544 S Green St,"4150 GEARY BLVD
San Francisco, CA 94118
(37.781091, -122.464077)"
0056163-02-001,0056163,Conard House Inc,Conard House Inc,149 9th St 430,94103,08,5800,02/11/1994 12:00:00 AM,01/01/1997 12:00:00 AM,1385 Mission St 200,"149 9TH ST
San Francisco, CA 94103
(37.775496, -122.413805)"
0056163-04-001,0056163,Conard House Inc,Conard 9th Street Cafe,160 9th St,94103,08,5800,02/11/1994 12:00:00 AM,03/30/1998 12:00:00 AM,1385 Mission St 200,"160 9TH ST
San Francisco, CA 94103
(37.775451, -122.413749)"
0056163-05-001,0056163,Conard House Inc,Conard Montgomery Street Cafe,710 Montgomery St,94111,08,5800,02/11/1994 12:00:00 AM,02/01/2000 12:00:00 AM,1385 Mission St 200,"710 MONTGOMERY ST
San Francisco, CA 94111
(37.795776, -122.403364)"
0056891-01-001,0056891,Apb Enterprises Inc,Perrys,1944 Union St,94123,08,5800,03/17/1970 12:00:00 AM,03/17/1970 12:00:00 AM,1944 Union St,"1944 UNION ST
San Francisco, CA 94123
(37.797627, -122.431294)"
0056952-01-001,0056952,18th St Bar Inc,Pendulum Inc,4146 18th St,94114,08,5800,01/01/1970 12:00:00 AM,01/01/1970 12:00:00 AM,4121 18th St,"4146 18TH ST
San Francisco, CA 94114
(37.760849, -122.435721)"
0056952-02-001,0056952,18th St Bar Inc,Toad Hall,4146 18th St,94114,08,5800,01/01/1970 12:00:00 AM,11/22/2005 12:00:00 AM,4121 18th St,"4146 18TH ST
San Francisco, CA 94114
(37.760849, -122.435721)"
0056952-03-001,0056952,18th St Bar Inc,San Francisco Toad Hall,4146 18th St,94114,08,5800,01/01/1970 12:00:00 AM,11/22/2005 12:00:00 AM,4121 18th St,"4146 18TH ST
San Francisco, CA 94114
(37.760849, -122.435721)"
0059357-01-001,0059357,Stavrinides Beatrice,La Cucina,2136 Union St,94123,08,3079,01/01/1970 12:00:00 AM,01/01/1970 12:00:00 AM,0000 Undeliverable Mail,"2136 UNION ST
San Francisco, CA 94123
(37.797215, -122.434528)"
0060465-02-001,0060465,Shamiya Bassam,Oscar's Burger & Deli,1850 Cesar Chavez St,94124,08,3079,08/01/2005 12:00:00 AM,08/01/2005 12:00:00 AM,3931 Pacific Hts Blvd,"1850 CESAR CHAVEZ ST
San Francisco, CA 94124
"
0060562-01-001,0060562,Harman Gardin Inc,Kentucky Fried Chicken,200 Duboce Ave,94103,08,5800,09/24/1970 12:00:00 AM,09/24/1970 12:00:00 AM,5544 S Green St,"200 DUBOCE AVE
San Francisco, CA 94103
(37.769711, -122.424816)"
0060906-01-001,0060906,Justice Investors Lp,Justice Investors,750 Kearny St Lobby Level,94108,08,5812,12/07/1970 12:00:00 AM,02/14/1996 12:00:00 AM,750 Kearny St,"750 KEARNY ST
LOBBY LEVEL San Francisco, CA 94108
(37.795071, -122.40491)"
0060906-04-001,0060906,Justice Investors Lp,Ace Parking,750 Kearny St 502,94108,08,5812,12/07/1970 12:00:00 AM,12/01/2008 12:00:00 AM,750 Kearny St,"750 KEARNY ST
San Francisco, CA 94108
(37.795071, -122.40491)"
0060906-05-001,0060906,Justice Investors Lp,Hilton S F Financial District,750 Kearny St 502,94108,08,5812,12/07/1970 12:00:00 AM,12/01/2008 12:00:00 AM,750 Kearny St,"750 KEARNY ST
San Francisco, CA 94108
(37.795071, -122.40491)"
0060906-06-001,0060906,Justice Investors Lp,Flute Coffee And Wine Bar,750 Kearny St,94108,08,5812,12/07/1970 12:00:00 AM,03/30/2006 12:00:00 AM,750 Kearny St,"750 KEARNY ST
San Francisco, CA 94108
(37.795071, -122.40491)"
0061822-01-001,0061822,Harman Bonilla Inc,Kentucky Fried Chicken,1881 Geary Blvd,94115,08,5800,11/02/1968 12:00:00 AM,11/02/1968 12:00:00 AM,5544 South Green St,"1881 GEARY BLVD
San Francisco, CA 94115
(37.784044, -122.434175)"
0061833-01-001,0061833,Harman-Oscar & Lisa Inc,Kentucky Fried Chicken,4285 Mission St,94112,08,5800,10/01/1968 12:00:00 AM,08/08/2005 12:00:00 AM,5544 S Green St,"4285 MISSION ST
San Francisco, CA 94112
(37.729114, -122.430926)"
0062421-01-001,0062421,Viotti Family Rev Living Tr,2629 Folsom Apts,2629 Folsom St,94110,08,3079,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,P.o. Box 590206,"2629 FOLSOM ST
San Francisco, CA 94110
(37.755167, -122.414337)"
0062988-01-001,0062988,North Beach Restaurant Inc,North Beach Restaurant Inc,1512 Stockton St,94133,08,5800,07/01/1970 12:00:00 AM,07/01/1970 12:00:00 AM,1512 Stockton St,"1512 STOCKTON ST
San Francisco, CA 94133
(37.799771, -122.409055)"
0063205-01-001,0063205,Harman Rolando Inc,Kentucky Fried Chicken,1150 Taraval St,94116,08,5800,04/08/1971 12:00:00 AM,04/08/1971 12:00:00 AM,5544 S Green St,"1150 TARAVAL ST
San Francisco, CA 94116
(37.742912, -122.47873)"
0063468-01-001,0063468,Barous Inc,Fleur De Lys,777 Sutter St,94109,08,5800,10/03/1970 12:00:00 AM,10/04/1970 12:00:00 AM,777 Sutter St,"777 SUTTER ST
San Francisco, CA 94109
(37.788652, -122.413196)"
0064317-07-001,0064317,Montarello Franco,Little Joes Baby Joes,1106 Market St,94102,08,3079,06/01/2011 12:00:00 AM,06/01/2011 12:00:00 AM,0000 Undeliverable Mail,"1106 MARKET ST
San Francisco, CA 94102
(37.780659, -122.412307)"
0068466-01-001,0068466,Cathay Restaurant Of Ca Inc,Cathay House,718 California St,94108,08,5800,04/17/1971 12:00:00 AM,04/17/1971 12:00:00 AM,718 California St,"718 CALIFORNIA ST
San Francisco, CA 94108
(37.792399, -122.406348)"
0069119-01-001,0069119,Marks Pacific Corp,Sutter Station Tavern,554 Market St,94104,08,5800,07/01/1971 12:00:00 AM,07/01/1971 12:00:00 AM,554 Market St,"554 MARKET ST
San Francisco, CA 94104
(37.789742, -122.400796)"
0069349-01-001,0069349,Olympic Club The,Olympic Club The,524 Post St,94102,08,5800,01/01/1971 12:00:00 AM,01/01/1971 12:00:00 AM,524 Post St,"524 POST ST
San Francisco, CA 94102
(37.787972, -122.41092)"
0069349-02-001,0069349,Olympic Club The,Olympic Club Cafe The,524 Post St,94102,08,5800,01/01/1971 12:00:00 AM,07/01/2006 12:00:00 AM,524 Post St,"524 POST ST
San Francisco, CA 94102
(37.787972, -122.41092)"
0072249-01-001,0072249,Fannoun Antoine & Judith,Tony's Cable Car Restaurant,2500 Geary Blvd,94115,08,5812,08/01/1972 12:00:00 AM,08/01/1972 12:00:00 AM,2500 Geary Bl,"2500 GEARY BLVD
San Francisco, CA 94115
(37.782744, -122.444769)"
0074516-01-001,0074516,Azala Enterprises Inc,Geary Club,768 Geary St,94109,08,5800,01/01/1973 12:00:00 AM,01/01/1973 12:00:00 AM,768 Geary St,"768 GEARY ST
San Francisco, CA 94109
(37.786379, -122.415958)"
0075434-01-001,0075434,21 Taylor Inc,21 Taylor Club,98 Turk St,94102,08,5800,01/01/1972 12:00:00 AM,01/01/1972 12:00:00 AM,0000 Undeliverable Mail,"98 TURK ST
San Francisco, CA 94102
(37.78322, -122.410771)"
0075754-02-001,0075754,Yannan Inc,Red Jade Restaurant,245 Church St,94114,08,5800,12/02/2003 12:00:00 AM,12/02/2003 12:00:00 AM,245 Church St,"245 CHURCH ST
San Francisco, CA 94114
(37.766811, -122.428879)"
0077116-01-001,0077116,Nicaragua Restaurant Inc,Nicaragua Restaurant Inc,3015 Mission St,94110,08,5800,01/01/2009 12:00:00 AM,01/01/2009 12:00:00 AM,3015 Mission St,"3015 MISSION ST
San Francisco, CA 94110
(37.748888, -122.418124)"
0078443-01-001,0078443,Lieuw Victor J,Georges Coffee Shop,2200 Oakdale Ave,94124,08,3079,08/30/1973 12:00:00 AM,08/30/1973 12:00:00 AM,1041 Crestview Dr,"2200 OAKDALE AVE
San Francisco, CA 94124
(37.741069, -122.401746)"
0078507-01-001,0078507,Liverpool Lils  Inc,Liverpool Lils Restaurant,2942 Lyon St,94123,08,5800,09/04/1973 12:00:00 AM,09/04/1973 12:00:00 AM,P.o. Box 472173 P.o. Box 472173,"2942 LYON ST
San Francisco, CA 94123
(37.798172, -122.447285)"
0079908-01-001,0079908,Rodriguez Alfredo & Gloria,Little Joes Pizza,5006 Mission St,94112,08,5800,11/27/1973 12:00:00 AM,11/27/1973 12:00:00 AM,5006 Mission St,"5006 MISSION ST
San Francisco, CA 94112
(37.718323, -122.43962)"
0080251-01-001,0080251,Black Martha,Peter D's Restaurant,2201 Van Ness Ave,94109,08,3079,09/01/1973 12:00:00 AM,09/01/1973 12:00:00 AM,819 Butternut Dr,"2201 VAN NESS AVE
San Francisco, CA 94109
(37.795992, -122.423545)"
0080381-02-001,0080381,Icf Inc,Yank Sing,49 Stevenson St,94105,08,5800,01/01/1974 12:00:00 AM,01/01/1974 12:00:00 AM,Po Box 192960,"49 STEVENSON ST
San Francisco, CA 94105
(37.789892, -122.399479)"
