,Location Id,Business Account Number,Ownership Name,DBA Name,Street Address,Source Zipcode,Class Code,PBC Code,Business Start Date,Location Start Date,Mail Address,Address,City_State_Zipcode,lat_long,geometry,area,length,po_name,state,zip
128,0100351-01-007,100351,Double Rainbow Ice Cream Inc,Double Rainbow Ice Cream Inc,275 S Van Ness Ave,94103,8,5800,11/12/1976 12:00:00 AM,01/01/1981 12:00:00 AM,275 So. Van Ness Ave,275 S VAN NESS AVE,"San Francisco, CA 94103","(37.768743, -122.417833)",POINT (-122.417833 37.768743),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
131,0102461-01-001,102461,Ramirez Guadalupe M,221-225 11th St Bldg,221 11th St,94103,8,5812,01/11/1977 12:00:00 AM,01/11/1977 12:00:00 AM,225 11th St,221 11TH ST,"San Francisco, CA 94103","(37.772732, -122.415115)",POINT (-122.415115 37.772732),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
132,0102461-02-001,102461,Ramirez Guadalupe M,Don Ramon's Mexican Restaurant,221 11th St,94103,8,5812,01/11/1977 12:00:00 AM,01/11/1977 12:00:00 AM,225 11th St,221 11TH ST,"San Francisco, CA 94103","(37.772732, -122.415115)",POINT (-122.415115 37.772732),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
137,0105184-02-001,105184,Sergios Inc,Caffe Roma,885 Bryant St,94103,8,5800,01/02/1997 12:00:00 AM,01/02/1997 12:00:00 AM,885 Bryant St,885 BRYANT ST,"San Francisco, CA 94103","(37.774646, -122.404263)",POINT (-122.404263 37.774646),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
176,0128248-01-001,128248,W Citirealty Corp,W Citirealty Corp,111 Rhode Island St 4b,94103,8,5800,03/24/1980 12:00:00 AM,01/01/2009 12:00:00 AM,111 Rhode Island St #4b,111 RHODE ISLAND ST,"San Francisco, CA 94103","(37.768886, -122.40297)",POINT (-122.40297 37.768886),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
189,0131900-01-001,131900,Taqueria La Cumbre Inc,Taqueria La Cumbre Inc,515 Valencia St,94110,8,5800,09/07/1981 12:00:00 AM,09/07/1981 12:00:00 AM,28 North B St,515 VALENCIA ST,"San Francisco, CA 94110","(37.764548, -122.421848)",POINT (-122.421848 37.764548),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
202,0137147-02-001,137147,"Mens Wearhouse, Inc.",Nw Media Group,22 4th St 9th Fl,94103,8,5800,09/02/1982 12:00:00 AM,02/05/2001 12:00:00 AM,6380 Rogerdale Rd,22 4TH ST,"San Francisco, CA 94103","(37.785463, -122.405429)",POINT (-122.405429 37.785463),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
286,0157789-02-001,157789,Steven B Weiss,Mel's Drive In,833 Mission St O & N,94103,8,5812,08/15/1986 12:00:00 AM,07/24/2000 12:00:00 AM,Po Box 82219,833 MISSION ST,"O &amp; N San Francisco, CA 94103","(37.783021, -122.406027)",POINT (-122.406027 37.783021),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
287,0158077-02-001,158077,Lartom Inc,City Auto Supply,1767 15th St,94103,8,5800,07/16/1986 12:00:00 AM,12/01/2000 12:00:00 AM,445 Littlefield Ave,1767 15TH ST,"San Francisco, CA 94103","(37.766462, -122.423425)",POINT (-122.423425 37.766462),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
336,0465601-01-001,465601,Sogreen Yogurt Metreon Inc,Sogreen Yogurt Metreon Inc,135 4th St Fc-1,94103,8,5800,02/03/2012 12:00:00 AM,02/03/2012 12:00:00 AM,135 4th St Fc-1,135 4TH ST,"San Francisco, CA 94103","(37.784013, -122.403669)",POINT (-122.403669 37.784013),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
369,0180505-01-001,180505,Salameh George T,New Star Market,269 14th St,94103,8,3079,08/09/1988 12:00:00 AM,08/09/1988 12:00:00 AM,269 14th St,269 14TH ST,"San Francisco, CA 94103","(37.768334, -122.419224)",POINT (-122.419224 37.768334),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
374,0181031-01-001,181031,Big Billy Inc,Slims,333 11th St,94103,8,5800,09/01/1988 12:00:00 AM,09/01/1988 12:00:00 AM,333 11th St,333 11TH ST,"San Francisco, CA 94103","(37.771336, -122.413366)",POINT (-122.413366 37.771336),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
375,0181141-02-001,181141,Narciso Carmelina,Carmelinas Cafe,1855 Folsom St,94103,8,3079,11/01/1988 12:00:00 AM,01/01/2005 12:00:00 AM,1 Norwich St,1855 FOLSOM ST,"San Francisco, CA 94103","(37.767658, -122.415538)",POINT (-122.415538 37.767658),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
384,0183242-01-001,183242,Arinell Pizza Inc,Arinell Pizza,509 Valencia St,94110,8,5800,01/01/1989 12:00:00 AM,01/01/1989 12:00:00 AM,2109 Shattuck Av,509 VALENCIA ST,"San Francisco, CA 94110","(37.764649, -122.421858)",POINT (-122.421858 37.764649),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
394,0185865-03-001,185865,Sugita Foods Inc,Sanraku,101 4th St,94103,8,5800,01/10/1989 12:00:00 AM,06/14/1999 12:00:00 AM,704 Sutter St,101 4TH ST,"San Francisco, CA 94103","(37.783618, -122.403169)",POINT (-122.403169 37.783618),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
421,0192275-01-001,192275,Guardado Jose R Antonia,El Miramar Restaurant #2,53 3rd St,94103,8,3079,01/01/1998 12:00:00 AM,01/01/1998 12:00:00 AM,1017 Larkin St,53 3RD ST,"San Francisco, CA 94103","(37.786827, -122.402724)",POINT (-122.402724 37.786827),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
431,0195602-03-001,195602,California Pizza Kitchen Inc,California Pizza Kitchen,53 3rd St,94103,8,5800,03/08/1990 12:00:00 AM,03/12/2007 12:00:00 AM,12181 Buff Creek Drive 5th Fl,53 3RD ST,"San Francisco, CA 94103","(37.786827, -122.402724)",POINT (-122.402724 37.786827),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
432,0196665-02-001,196665,Srisopa Apinun & Manora,Manoras Thai Cuisine,1600 Folsom St,94103,8,3079,05/01/1987 12:00:00 AM,05/01/1987 12:00:00 AM,1600 Folsom St,1600 FOLSOM ST,"San Francisco, CA 94103","(37.770896, -122.415004)",POINT (-122.415004 37.770896),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
450,0201542-08-001,201542,Maximum Productions Inc,Mr. Smith's,34 7th St,94118,8,5800,12/15/1990 12:00:00 AM,06/07/2001 12:00:00 AM,566 10th Ave,34 7TH ST,"San Francisco, CA 94118","(37.779979, -122.411887)",POINT (-122.411887 37.779979),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
454,0202060-01-001,202060,Hoffman Garima S,Ananda Fuara Vegetarian Restau,1298 Market St,94102,8,3079,01/01/1990 12:00:00 AM,01/01/1990 12:00:00 AM,1298 Market St,1298 MARKET ST,"San Francisco, CA 94102","(37.777819, -122.415898)",POINT (-122.415898 37.777819),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
460,0203224-01-002,203224,Srithong Suriya,Suriya Thai Restaurant,1532 Howard St,94103,8,3079,04/01/1991 12:00:00 AM,07/01/2009 12:00:00 AM,0000 Undeliverable Mail,1532 HOWARD ST,"San Francisco, CA 94103","(37.772629, -122.41611)",POINT (-122.41611 37.772629),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
479,0206514-01-002,206514,Tang Kai Yung,Jade Cafe #3,1688 Bryant St,94103,8,3079,07/31/1991 12:00:00 AM,11/07/1999 12:00:00 AM,1688 Bryant St,1688 BRYANT ST,"San Francisco, CA 94103","(37.76574, -122.410498)",POINT (-122.410498 37.76574),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
562,0305729-02-002,305729,Marluke Inc,Union Street Catering Co The,101 Henry Adams St,94103,8,5800,05/01/1997 12:00:00 AM,05/01/2010 12:00:00 AM,1944 Union St,101 HENRY ADAMS ST,"San Francisco, CA 94103","(37.768344, -122.403888)",POINT (-122.403888 37.768344),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
564,0305795-03-001,305795,Chin Tae I,Teds Sports Bar & Grill,312 Harriet St,94103,8,3079,05/10/2009 12:00:00 AM,05/10/2009 12:00:00 AM,312 Harriet St,312 HARRIET ST,"San Francisco, CA 94103","(37.77539, -122.402786)",POINT (-122.402786 37.77539),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
572,0307238-04-001,307238,Richmond Area Multi Serv Inc,Cafe Phoenix,1380 Howard St,94103,8,5800,07/01/1974 12:00:00 AM,05/16/2013 12:00:00 AM,639 14th Ave,1380 HOWARD ST,"San Francisco, CA 94103","(37.774174, -122.41419)",POINT (-122.41419 37.774174),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
578,0308034-04-001,308034,Grandeho's Inc,Indochine 508,508 Valencia St,94103,8,5800,07/01/1997 12:00:00 AM,02/03/2011 12:00:00 AM,2735 Hyde St,508 VALENCIA ST,"San Francisco, CA 94103","(37.764708, -122.421863)",POINT (-122.421863 37.764708),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
610,0312277-03-001,312277,Flood Christopher R,Ox Bar,1900 Folsom St,94103,8,3079,12/19/1997 12:00:00 AM,03/10/2006 12:00:00 AM,462 22nd Ave Apt 5,1900 FOLSOM ST,"San Francisco, CA 94103","(37.766827, -122.415448)",POINT (-122.415448 37.766827),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
611,0312283-01-001,312283,Singh Dharampal,India Garden Restaurant,1261 Folsom St,94103,8,3079,01/05/1998 12:00:00 AM,01/05/1998 12:00:00 AM,1261 Folsom Street,1261 FOLSOM ST,"San Francisco, CA 94103","(37.774282, -122.410974)",POINT (-122.410974 37.774282),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
613,0312392-01-001,312392,Asia Sf Llc,Asia Sf,201 9th St,94103,8,5800,03/01/1997 12:00:00 AM,03/01/1997 12:00:00 AM,201 9th St,201 9TH ST,"San Francisco, CA 94103","(37.774832, -122.412982)",POINT (-122.412982 37.774832),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
615,0312411-02-001,312411,Ley And Chau Enterprises Inc,Dounut Star/starwok Express,1099 Market St,94103,8,5800,01/01/1998 12:00:00 AM,01/01/1998 12:00:00 AM,1475 Polk St,1099 MARKET ST,"San Francisco, CA 94103","(37.780495, -122.412516)",POINT (-122.412516 37.780495),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
616,0312573-01-001,312573,Aoyama Kimiaki,Sushi Zone And Deli,1815 Market St 5,94103,8,3079,01/13/1998 12:00:00 AM,01/13/1998 12:00:00 AM,246 Ney St,1815 MARKET ST,"San Francisco, CA 94103","(37.771415, -122.42388)",POINT (-122.42388 37.771415),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
630,0313983-01-001,313983,Taroh & Hanako Inc,We Be Sushi,538 Valencia St,94110,8,5800,08/13/1996 12:00:00 AM,08/13/1996 12:00:00 AM,538 Valencia St,538 VALENCIA ST,"San Francisco, CA 94110","(37.76423, -122.421818)",POINT (-122.421818 37.76423),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
702,0320953-01-001,320953,Marshalls Of Ca Llc,Marshalls,901 Market St,94103,8,5800,02/01/1998 12:00:00 AM,02/01/1998 12:00:00 AM,770 Cochituate Rd Payroll Tax - Rte 300-2as,901 MARKET ST,"San Francisco, CA 94103","(37.78381, -122.408308)",POINT (-122.408308 37.78381),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
727,0322819-02-001,322819,Double P Corporation,Auntie Anne's Pretzel,845 Market St Space #201,94105,8,5800,03/29/2009 12:00:00 AM,03/29/2009 12:00:00 AM,8130 Mccormick Blvd,845 MARKET ST,"San Francisco, CA 94105","(37.784972, -122.406844)",POINT (-122.406844 37.784972),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
731,0322906-05-001,322906,R Venue Inc,Cafe Venue Fifth,67 5th St,94103,8,5800,01/04/1999 12:00:00 AM,11/20/2006 12:00:00 AM,734 Merrimac Pl,67 5TH ST,"San Francisco, CA 94103","(37.78293, -122.40674)",POINT (-122.40674 37.78293),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
739,0323597-01-001,323597,Woo Frederick,Magic Wok Restaurant,84 9th St,94103,8,3079,02/15/1999 12:00:00 AM,11/24/2004 12:00:00 AM,84 9th St,84 9TH ST,"San Francisco, CA 94103","(37.776435, -122.414984)",POINT (-122.414984 37.776435),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
746,0324581-01-001,324581,Pickapple Llc,Buckhorn,101 4th St 164,94103,8,5800,06/15/1999 12:00:00 AM,06/15/1999 12:00:00 AM,301 County Airport Road #214,101 4TH ST,"San Francisco, CA 94103","(37.783618, -122.403169)",POINT (-122.403169 37.783618),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
748,0324581-03-001,324581,Pickapple Llc,Buckhorn Grill,845 Market St,94103,8,5800,06/15/1999 12:00:00 AM,09/01/2006 12:00:00 AM,301 County Airport Road #214,845 MARKET ST,"San Francisco, CA 94103","(37.784972, -122.406844)",POINT (-122.406844 37.784972),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
764,0324828-01-001,324828,Starwood Hotels & Resorts,W San Francisco,181 3rd St,94103,8,5800,03/15/1999 12:00:00 AM,07/29/2009 12:00:00 AM,181 3rd St,181 3RD ST,"San Francisco, CA 94103","(37.78529, -122.400833)",POINT (-122.400833 37.78529),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
765,0324828-02-001,324828,Starwood Hotels & Resorts,Xyz Restaurant,181 3rd St,94103,8,5800,03/15/1999 12:00:00 AM,03/15/1999 12:00:00 AM,181 3rd St,181 3RD ST,"San Francisco, CA 94103","(37.78529, -122.400833)",POINT (-122.400833 37.78529),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
766,0324865-01-001,324865,San Francisco Aids Foundation,S F H C,995 Market St 200,94103,8,5800,03/01/1984 12:00:00 AM,03/01/1984 12:00:00 AM,1035 Market St Ste 400,995 MARKET ST,"San Francisco, CA 94103","(37.782445, -122.410034)",POINT (-122.410034 37.782445),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
767,0324865-02-001,324865,San Francisco Aids Foundation,Hiv Prevention Project,995 Market St 200,94103,8,5800,03/01/1984 12:00:00 AM,11/01/2002 12:00:00 AM,1035 Market St Ste 400,995 MARKET ST,"San Francisco, CA 94103","(37.782445, -122.410034)",POINT (-122.410034 37.782445),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
768,0324865-03-001,324865,San Francisco Aids Foundation,San Francisco Aids Foundation,995 Market St 200,94103,8,5800,03/01/1984 12:00:00 AM,03/01/1984 12:00:00 AM,1035 Market St Ste 400,995 MARKET ST,"San Francisco, CA 94103","(37.782445, -122.410034)",POINT (-122.410034 37.782445),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
770,0324871-02-001,324871,Brainwash Inc,Brainwash,1122 Folsom St,94103,8,5800,02/01/1999 12:00:00 AM,02/01/1999 12:00:00 AM,1122 Folsom St,1122 FOLSOM ST,"San Francisco, CA 94103","(37.776208, -122.408539)",POINT (-122.408539 37.776208),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
778,0325687-02-001,325687,Mission Bay Food Company Llc,Dos Pinas,251 Rhode Island St,94103,8,5812,03/19/1999 12:00:00 AM,03/19/1999 12:00:00 AM,2 Henry Adams St #M-95,251 RHODE ISLAND ST,"San Francisco, CA 94103","(37.76673, -122.402803)",POINT (-122.402803 37.76673),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
779,0325687-03-001,325687,Mission Bay Food Company Llc,Pazzo,2 Henry Adams St,94102,8,5812,03/19/1999 12:00:00 AM,11/30/2000 12:00:00 AM,2 Henry Adams St #M-95,2 HENRY ADAMS ST,"San Francisco, CA 94102","(37.769163, -122.403954)",POINT (-122.403954 37.769163),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
782,0325687-10-001,325687,Mission Bay Food Company Llc,Office,2 Henry Adams St M95,94103,8,5812,03/19/1999 12:00:00 AM,01/01/2007 12:00:00 AM,2 Henry Adams St #M-95,2 HENRY ADAMS ST,"San Francisco, CA 94103","(37.769163, -122.403954)",POINT (-122.403954 37.769163),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
783,0325687-11-001,325687,Mission Bay Food Company Llc,Publico,555 9th St,94103,8,5812,03/19/1999 12:00:00 AM,06/15/2009 12:00:00 AM,2 Henry Adams St #M-95,555 9TH ST,"San Francisco, CA 94103","(37.770594, -122.407662)",POINT (-122.407662 37.770594),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
793,0326518-01-001,326518,Pure Entertainment Llc,Butter,354 11th St,94103,8,5800,01/01/1999 12:00:00 AM,01/01/1999 12:00:00 AM,354 11th St,354 11TH ST,"San Francisco, CA 94103","(37.7712, -122.413197)",POINT (-122.413197 37.7712),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
798,0326990-02-001,326990,Marriott Hotel Services Inc,San Francisco Marriott Marquis,55 4th St,94103,8,5800,01/01/1999 12:00:00 AM,01/01/1999 12:00:00 AM,780 Mission Street,55 4TH ST,"San Francisco, CA 94103","(37.784987, -122.404837)",POINT (-122.404837 37.784987),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
818,0328244-06-001,328244,Rodriguez Santiago,Frjtz Valencia,590 Valencia St,94103,8,3079,09/28/2006 12:00:00 AM,09/28/2006 12:00:00 AM,590 Valencia St,590 VALENCIA ST,"San Francisco, CA 94103","(37.763463, -122.421745)",POINT (-122.421745 37.763463),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
820,0328768-02-001,328768,Destino Inc,Destino,1815 Market St,94103,8,5800,08/02/1999 12:00:00 AM,12/30/2005 12:00:00 AM,1815 Market Street,1815 MARKET ST,"San Francisco, CA 94103","(37.771415, -122.42388)",POINT (-122.42388 37.771415),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
864,0333583-01-001,333583,Its Tops Coffee Shop Inc,It's Tops Coffee Shop,1801 Market St,94103,8,5800,01/01/2000 12:00:00 AM,01/01/2000 12:00:00 AM,3836 E Lake Way,1801 MARKET ST,"San Francisco, CA 94103","(37.771513, -122.423756)",POINT (-122.423756 37.771513),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
871,0334673-02-001,334673,Rico Grande Inc,Cancun Restaurant #1,1003 Market St,94103,8,5800,04/01/2000 12:00:00 AM,05/14/2003 12:00:00 AM,2288 Mission St,1003 MARKET ST,"San Francisco, CA 94103","(37.782172, -122.410364)",POINT (-122.410364 37.782172),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
907,0340043-03-001,340043,Tith Chan,Happy Donut,6 6th St,94103,8,3079,10/01/2000 12:00:00 AM,03/01/2013 12:00:00 AM,6 Sixth St,6 6TH ST,"San Francisco, CA 94103","(37.782038, -122.410056)",POINT (-122.410056 37.782038),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
920,0341415-04-001,341415,Barbhuyan Kamal U,American Indian Cafe,132 6th St,94103,8,3079,01/25/2010 12:00:00 AM,01/25/2014 12:00:00 AM,0000 Undeliverable Mail,132 6TH ST,"San Francisco, CA 94103","(37.7805, -122.408132)",POINT (-122.408132 37.7805),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
936,0342573-01-001,342573,Buca Restaurants 2 Inc,Buca Di Beppo,855 Howard St,94103,8,5800,01/01/2001 12:00:00 AM,01/01/2001 12:00:00 AM,4700 Millenia Blvd Ste. 400,855 HOWARD ST,"San Francisco, CA 94103","(37.782292, -122.40393)",POINT (-122.40393 37.782292),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
944,0343738-01-002,343738,Legrin Inc,Legrin Inc,865 Market St A,94103,8,5800,03/01/2000 12:00:00 AM,01/01/2002 12:00:00 AM,235 Powell St,865 MARKET ST,"A San Francisco, CA 94103","(37.784904, -122.406929)",POINT (-122.406929 37.784904),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
950,0343971-01-001,343971,Sensoria Llc,Dna Lounge,375 11th St,94103,8,5800,01/01/2000 12:00:00 AM,01/01/2000 12:00:00 AM,375 11th St,375 11TH ST,"San Francisco, CA 94103","(37.770862, -122.412779)",POINT (-122.412779 37.770862),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
951,0343971-02-001,343971,Sensoria Llc,Dna Pizza,371 11th St,94103,8,5800,01/01/2000 12:00:00 AM,03/08/2011 12:00:00 AM,375 11th St,371 11TH ST,"San Francisco, CA 94103","(37.770935, -122.41287)",POINT (-122.41287 37.770935),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
958,0344493-01-001,344493,Chipotle Mexican Grill Inc,Chipotle Mexican Grill,126 New Montgomery St,94105,8,5800,04/06/2001 12:00:00 AM,04/06/2001 12:00:00 AM,1401 Wynkoop St #500,126 NEW MONTGOMERY ST,"San Francisco, CA 94105","(37.787031, -122.399973)",POINT (-122.399973 37.787031),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
963,0344493-06-001,344493,Chipotle Mexican Grill Inc,Chipotle Mexican Grill #1702,865 Market St C10,94103,8,5800,04/06/2001 12:00:00 AM,11/22/2011 12:00:00 AM,1401 Wynkoop St #500,865 MARKET ST,"San Francisco, CA 94103","(37.784904, -122.406929)",POINT (-122.406929 37.784904),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
965,0344493-08-001,344493,Chipotle Mexican Grill Inc,Chipotle Mexican Grill #1460,109 4th St 1035,94103,8,5800,04/06/2001 12:00:00 AM,06/21/2012 12:00:00 AM,1401 Wynkoop St #500,109 4TH ST,"San Francisco, CA 94103","(37.784312, -122.404041)",POINT (-122.404041 37.784312),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
1031,0349278-01-001,349278,Wong Kent K,Nhy Jewelry Repair,760 Market St 925,94102,8,3079,10/01/2001 12:00:00 AM,09/01/2011 12:00:00 AM,384 San Miguel St,760 MARKET ST,"San Francisco, CA 94102","(37.786173, -122.40532)",POINT (-122.40532 37.786173),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
1043,0350309-01-001,350309,Zerai Simon & Asefaw Mehari,Cable Car Coffee,902 Market St,94102,8,5812,11/08/2001 12:00:00 AM,11/08/2001 12:00:00 AM,410 Pierce St Apt #2,902 MARKET ST,"San Francisco, CA 94102","(37.78412, -122.407915)",POINT (-122.407915 37.78412),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
1048,0350793-02-001,350793,Taic-San Francisco Inc,The Art Institute Of Ca-Sf,1170 Market St,94102,8,5800,04/01/2002 12:00:00 AM,04/01/2002 12:00:00 AM,210 6th Ave 33rd Fl,1170 MARKET ST,"San Francisco, CA 94102","(37.779236, -122.4141)",POINT (-122.4141 37.779236),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
1059,0351919-02-001,351919,Muddy Waters Coffeehouse Inc,Muddy Waters Coffee House,521 Valencia St,94110,8,5800,01/01/2002 12:00:00 AM,01/01/2002 12:00:00 AM,1304 Valencia St,521 VALENCIA ST,"San Francisco, CA 94110","(37.764471, -122.421841)",POINT (-122.421841 37.764471),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
1088,0354115-01-001,354115,Katgely Laurent J,Chez Spencer,82 14th St,94103,8,3079,04/01/2002 12:00:00 AM,04/01/2002 12:00:00 AM,0000 Undeliverable Mail,82 14TH ST,"San Francisco, CA 94103","(37.768578, -122.415079)",POINT (-122.415079 37.768578),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
